Symbol,GSM1523727,GSM1523728,GSM1523729,GSM1523744,GSM1523745,GSM1523746,GSM1523747,GSM1523748,GSM1523765,GSM1523768,GSM1523769,GSM1523770,GSM1523771,GSM1523772,GSM1523773,GSM1523774,GSM1523775,GSM1523776,GSM1523777,GSM1523778,GSM1523779,GSM1523780,GSM1523781,GSM1523782,GSM1523783,GSM1523784,GSM1523785,GSM1523786,GSM1523787,GSM1523788,GSM1523789,GSM1523790,GSM1523791,GSM1523792,GSM1523793,GSM1523794,GSM1523795,GSM1523796,GSM1523797,GSM1523798,GSM1523799,GSM1523800,GSM1523801,GSM1523802,GSM1523803,GSM1523804,GSM1523805,GSM1523806,GSM1523807
AOX1,1.491822481,1.56679368,1.47783494,1.626352191,1.52678442,1.539757013,1.550572634,1.700963378,1.557476401,2.058536291,1.516583085,1.477647543,1.937998056,1.625540614,2.292187214,1.841787934,1.479766846,1.457061887,1.555473804,2.280319452,1.527606487,1.527168751,1.846825004,1.585633755,1.518527746,1.608384252,1.512256026,1.546575904,1.409579277,2.168716908,1.440810561,1.530278206,1.509300232,1.571520209,1.468458652,2.373405218,1.468631387,2.260138035,1.467696786,1.689159393,1.489012122,1.486484647,1.541514635,1.425441504,1.581603765,1.632148385,1.538339972,1.407089829,1.871627808
AP1S2,2.576588869,2.470761299,2.659696579,2.293023109,2.465471506,2.731125593,2.802277327,2.613007069,2.537548065,2.762027502,2.781406641,2.661379576,3.345593214,3.025950432,3.079106331,3.027199745,2.92495966,2.437229872,2.486236334,2.664586067,2.633341312,2.384563208,2.497387171,2.64241147,2.550776005,2.603694916,2.544399023,2.713508368,2.802113771,2.876532078,2.667847633,2.648669958,2.49388814,2.614621639,2.853732586,2.595396757,2.411878824,3.019225359,2.595910072,2.974727392,2.560352087,2.630419254,2.509333372,2.497668028,2.631049156,2.631470442,2.570851564,2.530840635,2.730620384
ARMCX1,1.535274625,1.970220208,1.932543993,1.928076625,2.155848026,2.651391983,2.559815168,2.282787561,2.022666216,2.404323101,2.397745132,1.805698395,2.85087347,2.527010918,2.692908525,2.806047678,1.74286437,1.846593857,1.803737998,2.211244106,1.998857737,2.167398214,2.208625555,1.809857726,2.052948713,2.201624155,2.097066164,2.276157379,1.477650046,2.619361401,2.400403261,2.180793762,2.049435377,1.961843133,2.768887281,2.024049282,1.934531331,2.675628424,1.888659835,2.324999809,1.790558934,1.708897114,1.794099927,1.911403775,2.071755648,2.403323412,2.238851547,2.03125596,2.16347909
ATP8B2,1.785921335,2.145425081,2.107097149,1.900120974,2.112901926,2.395738363,1.920637846,2.218255997,1.927101016,2.484770775,2.507804871,2.047391653,2.816488266,2.703248978,2.870073795,2.652629375,2.001762152,2.220810175,2.025400162,2.681856155,2.144793034,2.276315928,1.842365503,2.032679558,2.333484173,2.35902071,2.214448452,2.450772524,1.744504571,2.806479931,2.469204903,2.261087418,2.234424114,2.065587997,2.294895172,2.201576233,2.171968222,2.733594894,2.083696842,2.841497183,2.120980263,2.112784386,1.99829936,1.972314835,2.214778185,2.497956991,2.531380415,2.262419701,2.403788328
ATP8B3,1.19309032,1.201730132,1.148209929,1.275058627,1.087081671,1.490843296,1.124288678,1.135122776,1.295262337,1.104825258,1.032107472,1.207566142,1.096806407,1.067918897,1.116286993,1.090311646,1.215100408,1.207566142,1.163953543,1.138722658,1.207213283,1.146870136,1.228406429,1.210617423,1.277159452,1.220652223,1.160349011,1.08392024,1.225262761,1.109480977,1.177572489,1.14058578,1.145541668,1.169182181,1.116991997,1.694621921,1.063144326,1.130640388,1.366523623,1.218115449,1.208761573,1.25683105,1.16588676,1.169387102,1.135831356,1.190888882,1.174039602,1.074844837,1.109564662
AXL,1.961935282,2.381830692,2.318109751,2.337357044,2.387302637,2.117208958,1.935851932,2.375461578,2.471380711,2.548523903,2.649333,2.312716484,2.94821763,2.874056578,2.861765385,2.736869812,2.199442387,2.280473232,2.356400728,2.5911026,2.296633482,2.51073885,2.157173157,2.386966705,2.53595233,2.406823158,2.520356178,2.682159901,2.07442975,2.735843182,2.568585873,2.450612783,2.524660826,2.18371129,2.381904602,2.738979816,2.38631773,2.652783155,2.177530289,2.595846176,2.68927002,2.569967508,2.396679401,2.384130239,2.384304523,2.498959541,2.726718187,2.467106581,2.587004662
BDNF,1.424418211,1.460143328,1.553977847,1.480507374,1.639704108,1.399650455,1.498856068,1.41384542,1.693633318,1.514917731,1.708558321,1.517504811,1.439356565,1.402281642,1.218417048,1.3621701,1.361100554,1.390552402,1.522239685,1.58545208,1.427135348,1.439309835,1.483814478,1.513515353,1.329756618,1.421148181,1.378826261,1.407001495,1.306713939,1.596509933,1.678424358,1.563467622,1.352628589,1.435476303,1.668017507,1.406732559,1.494865298,1.392491221,1.502918482,1.351529241,1.414227843,1.359288335,2.526730776,1.296594977,1.472164989,1.495190978,1.647804499,1.455493808,1.556787133
BICC1,1.489719152,2.015885353,2.000383139,1.918904305,2.149187326,1.551621795,1.997852087,1.954096437,1.736787796,2.411711931,2.241646051,1.605404019,2.561296463,2.405764818,2.467460871,2.040868044,1.756513357,1.698370576,1.883793592,2.346702576,1.599328637,2.153885365,1.477854371,1.857135892,1.805418611,1.870187879,1.750898004,2.01659894,1.165881276,2.519488573,2.283339024,2.224408627,1.98212862,1.573994875,1.563224792,2.77909565,2.166213512,2.604123831,1.867940187,2.068441391,1.401893973,1.210699558,1.583641768,1.554527998,1.819163084,2.190928221,2.343553782,1.861005902,2.204051018
BNC2,1.467491627,1.686418772,1.773342133,1.487724781,1.681421041,1.450105667,1.218803406,1.704510093,1.595439315,2.05294776,1.787459731,1.334726095,2.249973297,2.055078745,2.303532362,2.237215519,1.391558409,1.596686363,1.506994367,1.91078043,1.369333744,2.083230495,1.292860985,1.562182546,1.475929379,1.835844159,1.607028127,1.664651036,1.2540344,2.414692163,1.96120131,1.815405965,1.77506125,1.532094598,1.389720917,1.41633594,1.726789951,2.480682611,1.39712894,1.8455652,1.397482038,1.255632043,1.330436349,1.382834911,1.523363233,1.940073013,1.92364037,1.507169604,1.556138515
BVES,1.460279942,1.508692741,1.560118079,1.506980896,1.509497166,1.540500283,1.703159094,1.491116524,1.43832159,1.772787571,1.636608839,1.558969855,2.528684616,2.096279144,2.170424223,2.324846745,1.427120924,1.484304667,1.407487631,1.785989642,1.385038972,1.511911392,1.871247292,1.413851142,1.354639888,1.470340371,1.654662132,1.601035237,1.521806955,1.742577434,1.643504262,1.540926218,1.402658105,1.487342,1.385551095,1.572321415,1.418530703,1.847555876,1.561998844,1.515826941,1.461838365,1.327699423,1.398210287,1.447915554,1.463286638,1.517533541,1.580631375,1.667250395,1.621962309
C1S,2.580837488,3.120826006,3.023780107,3.014520407,3.148535967,2.758964062,3.421112537,3.11295104,2.8166399,3.404760838,3.441377878,2.940653324,3.589210987,3.502080679,3.657764435,3.250591278,2.77147603,2.856360435,2.896188974,3.417150974,2.921341419,3.318371058,2.60812521,2.989053488,3.133144379,3.273442268,3.115115643,3.348130703,2.385243654,3.66364646,3.294890642,3.201724768,3.26712656,2.922428846,2.934666634,3.222035408,3.09380579,3.62244153,2.716743708,3.547816277,3.387225628,2.725026369,2.783554316,3.004220724,2.881266832,3.296940804,3.513582945,3.167982578,3.286296129
